country,fullName,id,nationalPoliticalGroup,politicalGroup
Sweden,Lars ADAKTUSSON,124990,Kristdemokraterna,Group of the European People's Party (Christian Democrats)
Italy,Isabella ADINOLFI,124831,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Italy,Marco AFFRONTE,124797,Movimento 5 Stelle,Group of the Greens/European Free Alliance
Italy,Laura AGEA,124811,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
United Kingdom,John Stuart AGNEW,96897,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,Clara Eugenia AGUILERA GARCÍA,125045,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Daniela AIUTO,124842,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
United Kingdom,Tim AKER,99650,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Spain,Marina ALBIOL GUZMÁN,125048,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left
Germany,Jan Philipp ALBRECHT,96736,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Bulgaria,Nedzhmi ALI,34250,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe
France,Louis ALIOT,30190,Front national,Europe of Nations and Freedom Group
France,Michèle ALLIOT-MARIE,1179,Les Républicains,Group of the European People's Party (Christian Democrats)
United Kingdom,Lucy ANDERSON,124949,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Martina ANDERSON,113959,Sinn Fein,Confederal Group of the European United Left - Nordic Green Left
Sweden,Max ANDERSSON,124994,Miljöpartiet de gröna,Group of the Greens/European Free Alliance
France,Eric ANDRIEU,113892,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Laima Liucija ANDRIKIENĖ,28276,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats)
Greece,Nikos ANDROULAKIS,125110,Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Gerolf ANNEMANS,124973,Vlaams Belang,Europe of Nations and Freedom Group
Belgium,Maria ARENA,124936,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Pascal ARIMONT,24922,Christlich Soziale Partei,Group of the European People's Party (Christian Democrats)
France,Marie-Christine ARNAUTU,124748,Front national,Europe of Nations and Freedom Group
United Kingdom,Jonathan ARNOTT,124958,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
France,Jean ARTHUIS,124773,Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe
United Kingdom,Richard ASHWORTH,28132,Conservative Party,European Conservatives and Reformists Group
Portugal,Francisco ASSIS,28307,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Janice ATKINSON,124938,-,Europe of Nations and Freedom Group
Denmark,Margrete AUKEN,28161,Socialistisk Folkeparti,Group of the Greens/European Free Alliance
Lithuania,Petras AUŠTREVIČIUS,124766,Lietuvos Respublikos liberalų sąjūdis,Group of the Alliance of Liberals and Democrats for Europe
Spain,Inés AYALA SENDER,28292,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Pilar AYUSO,4319,Partido Popular,Group of the European People's Party (Christian Democrats)
Netherlands,Johannes Cornelis van BAALEN,96937,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe
Luxembourg,Georges BACH,97293,Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats)
France,Guillaume BALAS,124744,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Zigmantas BALČYTIS,96680,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,Zoltán BALCZÓ,96877,Jobbik Magyarországért Mozgalom,Non-attached Members
Germany,Burkhard BALZ,96997,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Bulgaria,Nikolay BAREKOV,124871,Reload Bulgaria Party,European Conservatives and Reformists Group
United Kingdom,Amjad BASHIR,124956,Conservative Party,European Conservatives and Reformists Group
United Kingdom,Gerard BATTEN,28497,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
